Time,RSL
2310.7,24.457
2310.8,24.665
2310.9,24.901
2311.0,25.156
2311.1,25.307
2311.2,25.462
2311.3,25.602
2311.4,25.743
2311.5,25.879
2311.6,25.997
2311.7,26.109
2311.8,26.232
2311.9,26.361
2312.0,26.482
2312.1,26.535
2312.2,26.572
2312.3,26.592
2312.4,26.613
2312.5,26.616
2312.6,26.592
2312.7,26.577
2312.8,26.577
2312.9,26.575
2313.0,26.576
2313.1,26.545
2313.2,26.509
2313.3,26.468
2313.4,26.416
2313.5,26.360
2313.6,26.302
2313.7,26.239
2313.8,26.158
2313.9,26.072
2314.0,26.010
2314.1,25.896
2314.2,25.775
2314.3,25.656
2314.4,25.528
2314.5,25.413
2314.6,25.294
2314.7,25.167
2314.8,25.040
2314.9,24.910
2315.0,24.791
2315.1,24.660
2315.2,24.524
2315.3,24.385
2315.4,24.248
2315.5,24.105
2315.6,23.966
2315.7,23.829
2315.8,23.693
2315.9,23.554
2316.0,23.432
2316.1,23.298
2316.2,23.165
2316.3,23.018
2316.4,22.866
2316.5,22.709
2316.6,22.548
2316.7,22.401
2316.8,22.236
2316.9,22.073
2317.0,21.909
2317.1,21.748
2317.2,21.593
2317.3,21.440
2317.4,21.284
2317.5,21.117
2317.6,20.947
2317.7,20.774
2317.8,20.614
2317.9,20.441
2318.0,20.263
2318.1,20.114
2318.2,19.957
2318.3,19.797
2318.4,19.635
2318.5,19.471
2318.6,19.305
2318.7,19.130
2318.8,18.954
2318.9,18.770
2319.0,18.583
2319.1,18.436
2319.2,18.284
2319.3,18.134
2319.4,17.980
2319.5,17.824
2319.6,17.663
2319.7,17.489
2319.8,17.319
2319.9,17.136
2320.0,16.945
2320.1,16.780
2320.2,16.603
2320.3,16.421
2320.4,16.229
2320.5,16.035
2320.6,15.848
2320.7,15.649
2320.8,15.448
2320.9,15.236
2321.0,15.001
2321.1,14.793
2321.2,14.575
2321.3,14.366
2321.4,14.159
2321.5,13.952
2321.6,13.773
2321.7,13.598
2321.8,13.416
2321.9,13.231
2322.0,13.046
2322.1,12.890
2322.2,12.758
2322.3,12.629
2322.4,12.528
2322.5,12.420
2322.6,12.322
2322.7,12.242
2322.8,12.156
2322.9,12.077
2323.0,11.994
2323.1,11.927
2323.2,11.861
2323.3,11.817
2323.4,11.788
2323.5,11.768
2323.6,11.741
2323.7,11.730
2323.8,11.707
2323.9,11.676
2324.0,11.664
2324.1,11.674
2324.2,11.667
2324.3,11.685
2324.4,11.700
2324.5,11.695
2324.6,11.691
2324.7,11.719
2324.8,11.741
2324.9,11.764
2325.0,11.778
2325.1,11.807
2325.2,11.811
2325.3,11.845
2325.4,11.855
2325.5,11.912
2325.6,11.940
2325.7,11.998
2325.8,12.062
2325.9,12.112
2326.0,12.148
2326.1,12.182
2326.2,12.219
2326.3,12.266
2326.4,12.311
2326.5,12.345
2326.6,12.405
2326.7,12.435
2326.8,12.459
2326.9,12.527
2327.0,12.583
2327.1,12.613
2327.2,12.618
2327.3,12.620
2327.4,12.639
2327.5,12.618
2327.6,12.584
2327.7,12.521
2327.8,12.459
2327.9,12.397
2328.0,12.357
2328.1,12.265
2328.2,12.180
2328.3,12.081
2328.4,11.970
2328.5,11.874
2328.6,11.769
2328.7,11.657
2328.8,11.547
2328.9,11.448
2329.0,11.349
2329.1,11.212
2329.2,11.078
2329.3,10.941
2329.4,10.790
2329.5,10.627
2329.6,10.474
2329.7,10.333
2329.8,10.178
2329.9,10.027
2330.0,9.873
2330.1,9.695
2330.2,9.524
2330.3,9.349
2330.4,9.171
2330.5,9.006
2330.6,8.832
2330.7,8.663
2330.8,8.491
2330.9,8.313
2331.0,8.162
2331.1,7.977
2331.2,7.799
2331.3,7.623
2331.4,7.446
2331.5,7.267
2331.6,7.091
2331.7,6.903
2331.8,6.729
2331.9,6.554
2332.0,6.395
2332.1,6.224
2332.2,6.060
2332.3,5.891
2332.4,5.726
2332.5,5.563
2332.6,5.394
2332.7,5.229
2332.8,5.055
2332.9,4.879
2333.0,4.721
2333.1,4.551
2333.2,4.372
2333.3,4.204
2333.4,4.054
2333.5,3.900
2333.6,3.733
2333.7,3.574
2333.8,3.419
2333.9,3.271
2334.0,3.128
2334.1,2.976
2334.2,2.844
2334.3,2.721
2334.4,2.595
2334.5,2.476
2334.6,2.372
2334.7,2.280
2334.8,2.199
2334.9,2.124
2335.0,2.055
2335.1,1.992
2335.2,1.938
2335.3,1.889
2335.4,1.844
2335.5,1.798
2335.6,1.755
2335.7,1.699
2335.8,1.644
2335.9,1.591
2336.0,1.545
2336.1,1.489
2336.2,1.421
2336.3,1.341
2336.4,1.254
2336.5,1.167
2336.6,1.067
2336.7,0.969
2336.8,0.872
2336.9,0.784
2337.0,0.704
2337.1,0.633
2337.2,0.580
2337.3,0.530
2337.4,0.488
2337.5,0.458
2337.6,0.431
2337.7,0.404
2337.8,0.383
2337.9,0.365
2338.0,0.356
2338.1,0.346
2338.2,0.339
2338.3,0.340
2338.4,0.339
2338.5,0.334
2338.6,0.333
2338.7,0.337
2338.8,0.330
2338.9,0.333
2339.0,0.327
2339.1,0.334
2339.2,0.336
2339.3,0.343
2339.4,0.346
2339.5,0.356
2339.6,0.363
2339.7,0.364
2339.8,0.368
2339.9,0.375
2340.0,0.387
2340.1,0.393
2340.2,0.402
2340.3,0.414
2340.4,0.430
2340.5,0.447
2340.6,0.460
2340.7,0.481
2340.8,0.499
2340.9,0.537
2341.0,0.566
2341.1,0.591
2341.2,0.619
2341.3,0.656
2341.4,0.703
2341.5,0.765
2341.6,0.814
2341.7,0.878
2341.8,0.932
2341.9,1.003
2342.0,1.102
2342.1,1.194
2342.2,1.290
2342.3,1.391
2342.4,1.488
2342.5,1.577
2342.6,1.677
2342.7,1.753
2342.8,1.844
2342.9,1.950
2343.0,2.049
2343.1,2.139
2343.2,2.220
2343.3,2.312
2343.4,2.390
2343.5,2.447
2343.6,2.488
2343.7,2.545
2343.8,2.581
2343.9,2.618
2344.0,2.664
2344.1,2.717
2344.2,2.762
2344.3,2.795
2344.4,2.842
2344.5,2.879
2344.6,2.918
2344.7,2.945
2344.8,2.973
2344.9,3.019
2345.0,3.070
2345.1,3.115
2345.2,3.167
2345.3,3.210
2345.4,3.271
2345.5,3.330
2345.6,3.406
2345.7,3.476
2345.8,3.562
2345.9,3.660
2346.0,3.757
2346.1,3.871
2346.2,4.036
2346.3,4.181
2346.4,4.360
2346.5,4.528
2346.6,4.704
2346.7,4.906
2346.8,5.086
2346.9,5.306
2347.0,5.538
2347.1,5.787
2347.2,6.050
2347.3,6.323
2347.4,6.625
2347.5,6.921
2347.6,7.217
2347.7,7.605
2347.8,7.993
2347.9,8.394
2348.0,8.859
2348.1,9.303
2348.2,9.731
2348.3,10.229
2348.4,10.702
2348.5,11.193
2348.6,11.717
2348.7,12.217
2348.8,12.728
2348.9,13.298
2349.0,13.843
2349.1,14.389
2349.2,14.930
2349.3,15.484
2349.4,16.025
2349.5,16.539
2349.6,17.089
2349.7,17.721
2349.8,18.310
2349.9,18.914
2350.0,19.479
2350.1,20.009
2350.2,20.546
2350.3,21.060
2350.4,21.584
2350.5,22.084
2350.6,22.605
2350.7,23.059
2350.8,23.573
2350.9,24.057
2351.0,24.556
2351.1,24.977
2351.2,25.424
2351.3,25.886
2351.4,26.332
